id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
209031,5149,5110,E,GUILFORD,VT,"GUILFORD,VT",,0,,2524.88695836,297562.314671,136.3447611808778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5842,5150,5088,I,MONTAGUE,MA,"MONTAGUE,MA",FRCOG,0,,8446.636998,2625356.65558,124.84046019668563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209025,5151,5089,E,WINCHESTER,NH,"WINCHESTER,NH",,0,,4672.86868042,1046788.73184,137.03878815229277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209026,5152,5090,E,WINCHESTER,NH,"WINCHESTER,NH",,0,,3502.08454193,582729.894916,136.5845678322438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209028,5153,5091,E,VERNON,VT,"VERNON,VT",,0,,3209.46960008,480470.921622,136.8042113866859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209032,5154,5092,E,GUILFORD,VT,"GUILFORD,VT",,0,,2877.78767137,377085.665202,136.10754297191897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5817,5155,5093,I,BUCKLAND,MA,"BUCKLAND,MA",FRCOG,0,,14018.4320307,5587887.64067,125.16940386175696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5838,5156,5094,I,SHELBURNE,MA,"SHELBURNE,MA",FRCOG,0,,6644.70081326,1939590.19111,125.56516575971116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209036,5157,5095,E,WHITTINGHAM,VT,"WHITTINGHAM,VT",,0,,3580.7136705,609964.012862,135.47811641107697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209034,5158,5096,E,GUILFORD,VT,"GUILFORD,VT",,0,,3279.62990508,494198.285364,135.86460766294476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
